ID,Primary Type,Arrest,Year
5230658,THEFT,false,2007
5230663,BATTERY,false,2007
5230666,THEFT,false,2006
5230674,BATTERY,false,2006
5230675,CRIMINAL TRESPASS,true,2007
5230677,NARCOTICS,true,2006
5230680,MOTOR VEHICLE THEFT,false,2007
5230685,BATTERY,false,2007
5230687,BATTERY,false,2007
5230689,BATTERY,false,2007
5230690,NARCOTICS,true,2007
5230693,NARCOTICS,true,2006
5230706,BATTERY,false,2007
5230711,THEFT,false,2007
5230718,NARCOTICS,true,2007
5230720,NARCOTICS,true,2007
5230724,ASSAULT,false,2007
5230730,THEFT,false,2007
5230734,MOTOR VEHICLE THEFT,false,2007
5230742,NARCOTICS,true,2006
5230743,OFFENSE INVOLVING CHILDREN,true,2006
5230744,NARCOTICS,true,2007
5230746,DECEPTIVE PRACTICE,false,2007
